created_datetime,dataset,geometry,id,location.adminArea1,location.adminArea1Type,location.adminArea3,location.adminArea3Type,location.adminArea4,location.adminArea4Type,location.adminArea5,location.adminArea5Type,location.displayLatLng.lat,location.displayLatLng.lng,location.dragPoint,location.geocodeQuality,location.geocodeQualityCode,location.latLng.lat,location.latLng.lng,location.linkId,location.mapUrl,location.postalCode,location.sideOfStreet,location.street,location.type,location_type,reason,submission_sets.support.length,submission_sets.support.url,submitter,submitter.avatar_url,submitter.id,submitter.name,submitter.username,submitter_name,updated_datetime,url,user_token,visible
2014-10-29T03:24:27.554509+00:00,568,POINT (-73.8573399999999936 40.8933409999999995),267303,US,Country,NY,State,Bronx County,County,New York City,City,40.893162,-73.857291,False,ADDRESS,L1AAA,40.893341,-73.85734,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.89334141952868,-73.85733962059021,0,0|&center=40.89334141952868,-73.85733962059021&zoom=15&rand=326651793",10466,N,4198 White Plains Road,s,suggestion,"2 train overhead, busy.",,,,,,,,Nick,2014-10-29T03:24:27.588328+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267303,session:e9cb58dfc0ca3954e30a5b512b04615e,True
2014-10-29T03:24:09.247937+00:00,568,POINT (-73.9617259999999987 40.7800989999999999),267301,US,Country,NY,State,New York County,County,New York City,City,40.779812,-73.961306,False,ADDRESS,L1AAA,40.780099,-73.961726,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.78009866931953,-73.9617258310318,0,0|&center=40.78009866931953,-73.9617258310318&zoom=15&rand=-160101538",10028,N,1026 5th Avenue,s,suggestion,This location is a no-brainer.,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267301/support,,,,,,UESer,2014-10-29T03:24:09.282687+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267301,session:0a2c34f0082e9c65a40b18071b23f8e7,True
2014-10-29T03:24:02.662515+00:00,568,POINT (-73.8603439999999978 40.8879069999999984),267300,US,Country,NY,State,Bronx County,County,New York City,City,40.887834,-73.860239,False,ADDRESS,L1AAA,40.887907,-73.860344,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.88790733272784,-73.86034369468689,0,0|&center=40.88790733272784,-73.86034369468689&zoom=15&rand=1581672057",10466,N,3974 White Plains Road,s,suggestion,2 train overhead.,,,,,,,,Nick,2014-10-29T03:24:02.823687+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267300,session:e9cb58dfc0ca3954e30a5b512b04615e,True
2014-10-29T03:23:40.582710+00:00,568,POINT (-73.8628010000000046 40.8836119999999994),267299,US,Country,NY,State,Bronx County,County,New York City,City,40.883751,-73.862931,False,ADDRESS,L1AAA,40.883612,-73.862801,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.883612466321104,-73.86280059814453,0,0|&center=40.883612466321104,-73.86280059814453&zoom=15&rand=-1401917746",10467,N,3801 White Plains Road,s,suggestion,2 train overhead.,,,,,,,,Nick,2014-10-29T03:23:40.617881+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267299,session:e9cb58dfc0ca3954e30a5b512b04615e,True
2014-10-29T03:23:37.545835+00:00,568,POINT (-73.9399030000000010 40.6908850000000015),267298,US,Country,NY,State,Kings County,County,New York City,City,40.691015,-73.939897,False,ADDRESS,L1AAA,40.690885,-73.939903,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.69088486047436,-73.93990337848663,0,0|&center=40.69088486047436,-73.93990337848663&zoom=15&rand=-666339146",11221,N,826 Lafayette Avenue,s,suggestion,Near laundromat and grocery store which is focal point and also far from MTA,,,,,,,,Will D,2014-10-29T03:23:37.582288+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267298,session:4efec33070b68c3b6afb4a51fbd7f587,True
2014-10-29T03:23:17.564237+00:00,568,POINT (-73.9531860000000023 40.7851519999999965),267297,US,Country,NY,State,New York County,County,New York City,City,40.785152,-73.952975,False,ADDRESS,L1AAA,40.785152,-73.953186,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.78515167377318,-73.95318567752838,0,0|&center=40.78515167377318,-73.95318567752838&zoom=15&rand=1719504108",10128,N,101 East 94th Street,s,suggestion,It's opposite hunter school and arrow won't let me place it there!,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267297/support,,,,,,See chiddlewack,2014-10-29T03:23:17.611931+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267297,session:89e0356952e141b120adca7b11215531,True
2014-10-29T03:22:46.909449+00:00,568,POINT (-73.9607759999999956 40.7732939999999999),267295,US,Country,NY,State,New York County,County,New York City,City,40.773581,-73.96095,False,ADDRESS,L1AAA,40.773294,-73.960776,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.77329437840075,-73.96077632904053,0,0|&center=40.77329437840075,-73.96077632904053&zoom=15&rand=-1744729016",10021,N,111 East 76th Street,s,suggestion,NS/LIJ Lenox Hill Hospital has dozens of workers who'd rather ride the bike than the 6 train.,,,,,,,,John,2014-10-29T03:22:46.947291+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267295,session:166bb547f60eb57687f489608d8bd6ad,True
2014-10-29T03:22:41.745360+00:00,568,POINT (-73.8378450000000015 40.8793340000000001),267293,US,Country,NY,State,Bronx County,County,New York City,City,40.879425,-73.837995,False,ADDRESS,L1AAA,40.879334,-73.837845,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.87933354510744,-73.83784532546997,0,0|&center=40.87933354510744,-73.83784532546997&zoom=15&rand=1242168641",10469,N,3423 Baychester Avenue,s,suggestion,Subway entrance is located here @ Baychester Ave,,,,,,,,Nick,2014-10-29T03:22:41.810095+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267293,session:e9cb58dfc0ca3954e30a5b512b04615e,True
2014-10-29T03:21:55.916320+00:00,568,POINT (-73.8790010000000024 40.7477730000000022),267289,US,Country,NY,State,Queens County,County,New York City,City,40.74779,-73.878928,False,ADDRESS,L1AAA,40.747773,-73.879001,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.74777309678945,-73.87900114059448,0,0|&center=40.74777309678945,-73.87900114059448&zoom=15&rand=918948916",11373,N,87-27 Britton Avenue,s,suggestion,It won't take up any space on the main thoroughfare and is also right next to it.,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267289/support,,,,,,JOHN J GAVIRIA JR,2014-10-29T03:21:55.958250+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267289,session:5c6d56b858994fedc363b8db76af904e,True
2014-10-29T03:21:13.201559+00:00,568,POINT (-73.9563239999999951 40.7788919999999990),267278,US,Country,NY,State,New York County,County,New York City,City,40.778827,-73.956369,False,ADDRESS,L1AAA,40.778892,-73.956324,0,"http://open.mapquestapi.com/staticmap/v4/getmap?key=Fmjtd|luur2g0bnl,25=o5-9at29u&type=map&size=225,160&pois=purple-1,40.77889222797028,-73.9563238620758,0,0|&center=40.77889222797028,-73.9563238620758&zoom=15&rand=849619138",10028,N,132 East 85th Street,s,suggestion,"Its unbelievable that Citibike ever launched without UES and UWS locations.  Good for high density Manhattan neighborhoods that would relieve Taxi and Subway congestion and the many tourists that want to bike in Central Park.  Station should be near 86th and Lex but 86th is too busy of a street, so 85th or 87th should be evaluated.",,,,,,,,Bryan,2014-10-29T03:21:13.231721+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/267278,session:0a2c34f0082e9c65a40b18071b23f8e7,True
